"title","instructor","guid","link","description","registration_url","registration_description","parkids","parknames","startdate","enddate","starttime","endtime","contact_phone","location","categories","coordinates","image","pubDate"
"Liberty Pool: Swim Team Training",,"2,188,343","http://www.nycgovparks.org/events/2026/08/13/liberty-pool-swim-team-training","Learn competitive swimming strokes, goal setting, sportsmanship, teamwork principals, and improve your fitness. Participants must know how to swim comfortably; advanced skill level required. For ages 6-18. Advanced skill level required.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=e22807bd-f4d2-4bfc-8374-ac42444e2ef1","Registration for this event is full. Please use the link to add your name to the wait list.","Q121","Detective Keith L Williams Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 11:00:00",,"Main Pool (in Detective Keith L Williams Park)","Swimming/Aquatics","40.70180531305800000, -73.78410351276400000",,"2026-08-09 00:00:04"
"Summer on the Hudson: Art in the Park",,"2,195,873","http://www.nycgovparks.org/events/2026/08/13/summer-on-the-hudson-art-in-the-park","Art in the Park invites children ages 3-8 to learn about their local environment through a mix of arts &amp; crafts activities. This hands-on, place-based curriculum builds kids' appreciation for the plants, pollinators, and wildlife found in Riverside Park, and fosters their creativity.&nbsp;Mondays and Thursdays at Camel Playground; Tuesdays and Wednesdays at Hippo Playground. Art in the Park is fully funded by proceeds from the Hippo Playground Spring Fair.&nbsp;",,,"M072","Riverside Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 12:00:00","2128703089","Riverbank (Camel) Playground (in Riverside Park)","Arts & Crafts | Nature | Art","40.82562048328100000, -73.95355439186100000",,"2026-08-09 00:00:04"
"Exhibition: Think Global. Act Local.",,"2,198,057","http://www.nycgovparks.org/events/2026/08/13/exhibition-think-global-act-local","&nbsp;Multi artist exhibit of works highlighting endangered local and global species.&nbsp;Learn what NYC Parks is doing within City to protect and preserve local wildlife as well preervation efforts around the world.&nbsp;Free admission. &nbsp;",,,"R006","Conference House Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 16:00:00",,"Visitor Center - Satterlee Street and Hylan Boulevard (in Conference House Park)","Education | Nature | Art | History | Volunteer | Waterfront | Wildlife | Walking","40.50225702965300000, -74.25172543525700000","http://www.nycgovparks.org/common_images/events/69331868b5406.jpg","2026-08-09 00:00:04"
"Gardening Thursday at Starlight Park",,"2,204,140","http://www.nycgovparks.org/events/2026/08/13/gardening-thursday-at-starlight-park","We will be stewarding a rain garden in Starlight Park.Note on Accessibility: Starlight Park contains flat, paved paths. Restrooms and parking are available on site. There are a variety of public transit methods nearby, including the 2, 5, and 6 subway lines. We can accommodate special requests or needs.Please wear clothing appropriate for outdoor weather and gardening/cleaning activities. We also recommend bringing snacks and a refillable water bottle to stay hydrated.All gloves and tools needed will be provided by the Alliance.","https://bronxriver.org/event/gardening-thursday-at-starlight-park-4",,"X147A","Starlight Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 12:00:00","7185424124","Bronx River House (in Starlight Park)","Volunteer | Workshops | Gardening","40.83279785876000000, -73.88291561603500000","http://www.nycgovparks.org/common_images/events/6a3fe1eb974ab.jpeg","2026-08-09 00:00:04"
"Kids In Motion: Bowne Park",,"2,204,562","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-bowne-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q006","Bowne Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Bowne Park Playground (in Bowne Park)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.77034280486200000, -73.80591541528700000","http://www.nycgovparks.org/common_images/events/6a5e05c2c5ef5.jpg","2026-08-09 00:00:04"
"Kids In Motion: London Planetree Playground",,"2,204,656","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-london-planetree-playground","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q128","London Planetree Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(718) 393-7370","Play Area (in London Planetree Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.68610000610400000, -73.85320281982400000","http://www.nycgovparks.org/common_images/events/6a5e06377c49b.jpg","2026-08-09 00:00:04"
"Kids In Motion: Rosemary's Playground",,"2,204,959","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-rosemarys-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q398","Rosemary's Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Playground (in Rosemary's Playground)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.70447868093400000, -73.90448480844500000","http://www.nycgovparks.org/common_images/events/6a5e0589642cc.jpg","2026-08-09 00:00:04"
"Kids In Motion: Elmhurst Park",,"2,206,968","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-elmhurst-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q492","Elmhurst Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Playground (in Elmhurst Park)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.73059782818800000, -73.88500123311300000","http://www.nycgovparks.org/common_images/events/6a5e05d23d681.jpg","2026-08-09 00:00:04"
"Kids in Motion: St. James Playground",,"2,208,441","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-st-james-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X044","St. James Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6413","St. James Park Playground (in St. James Park)","Arts & Crafts | Games | Best for Kids | Sports","40.86601935453400000, -73.89819562435100000","http://www.nycgovparks.org/common_images/events/6a5e05d6da8e7.jpg","2026-08-09 00:00:04"
"Kids in Motion: Ben Abrams Playground",,"2,208,840","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-ben-abrams-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X002","Bronx Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6354","Ben Abrams Playground (in Bronx Park)","Arts & Crafts | Games | Best for Kids | Sports","40.85449981689500000, -73.87010192871100000","http://www.nycgovparks.org/common_images/events/6a6254b26f60a.jpg","2026-08-09 00:00:04"
"Kids In Motion: Haggerty Park",,"2,213,044","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-haggerty-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q359","Haggerty Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Multi-Purpose Play Area (in Haggerty Park)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.71301729383100000, -73.75851392745900000","http://www.nycgovparks.org/common_images/events/6a5e0575cede0.jpg","2026-08-09 00:00:04"
"Kids in Motion: Sol Lain Playground",,"2,213,360","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-sol-lain-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M235","Sol Lain Plgd","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Sol Lain Playground (in Sol Lain Plgd)","Arts & Crafts | Games | Best for Kids | Sports | Basketball/Netball | Sports Camps","40.71419906616211000, -73.98380279541016000","http://www.nycgovparks.org/common_images/events/6a689b846e7e3.jpg","2026-08-09 00:00:04"
"Kids In Motion: Bloomingdale Playground",,"2,213,384","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-bloomingdale-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M238","Bloomingdale Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Play Area (in Bloomingdale Playground)","Arts & Crafts | Games | Best for Kids","40.79930114746100000, -73.96600341796900000","http://www.nycgovparks.org/common_images/events/6a5b96f034ac7.jpg","2026-08-09 00:00:04"
"Kids in Motion: Samuel Seabury Playground",,"2,213,433","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-samuel-seabury-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M236","Samuel Seabury Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Samuel Seabury Playground","Arts & Crafts | Games | Best for Kids","40.78540039062500000, -73.95079803466797000","http://www.nycgovparks.org/common_images/events/6a71f0ca55624.jpg","2026-08-09 00:00:04"
"Kids in Motion: Columbus Park",,"2,213,500","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-columbus-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M015","Columbus Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Columbus Park","Arts & Crafts | Games | Best for Kids","40.71519851684600000, -74.00000000000000000","http://www.nycgovparks.org/common_images/events/6a5e062de7237.jpg","2026-08-09 00:00:04"
"Kids in Motion: Seward Park",,"2,213,857","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-seward-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M082","Seward Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Entrance - East Broadway & Essex St (in Seward Park)","Arts & Crafts | Games | Best for Kids | Sports | Basketball/Netball | Sports Camps","40.71449900000000000, -73.98988600000000000","http://www.nycgovparks.org/common_images/events/6a5e05b1db72a.jpg","2026-08-09 00:00:04"
"Kids In Motion: Nostrand Playground",,"2,213,930","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-nostrand-playground","The Kids In Motion program engages children in active, outdoor play. An NYC parks staff member leads four to steven hours of free activities in NYC'S playgrounds, including organized sports, games, fitness demos, board games, water games, and more.",,"Registration not required.",,,"08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Nostrand Playground","Arts & Crafts | Fitness | Games | Best for Kids","40.63828844529000000, -73.94692498147600000",,"2026-08-09 00:00:04"
"Kids in Motion: Spuyten Duyvil Playground",,"2,213,984","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-spuyten-duyvil-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X171","Spuyten Duyvil Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6413","Play Area (in Spuyten Duyvil Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.88722589357500000, -73.91639633816400000","http://www.nycgovparks.org/common_images/events/6a6254cdc6e90.jpg","2026-08-09 00:00:04"
"Kids in Motion: Breevort Playground",,"2,214,748","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-breevort-playground","The Kids In Motion programs engage children in active, outdoor play. An NYC parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games and more",,"Registration not required.","B258","Brevoort Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Brevoort Playground","Arts & Crafts | Fitness | Games | Best for Kids","40.68050003051758000, -73.92269897460938000",,"2026-08-09 00:00:04"
"Kids in Motion: Jesse Owens Playground",,"2,214,772","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-jesse-owens-playground","The Kids In Motion programs engage children in active, outdoor play. An NYC parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games and more",,"Registration not required.",,,"08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Patrick Van Doren Pocket Park","Arts & Crafts | Fitness | Games | Best for Kids","40.68944012449000000, -73.93006461858700000",,"2026-08-09 00:00:04"
"Kids In Motion: Alley Springfield Playground",,"2,215,065","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-alley-springfield-playground","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q001","Alley Pond Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(718) 393-7370","Alley Springfield Playground (in Alley Pond Park)","Arts & Crafts | Games | Best for Kids | Sports","40.74152567643700000, -73.74869167804800000","http://www.nycgovparks.org/common_images/events/6a5e052c7396f.jpg","2026-08-09 00:00:04"
"Kids In Motion: Beach 59th Street Playground",,"2,215,088","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-beach-59th-street-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q162","Rockaway Beach and Boardwalk","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Beach 59th Street Playground (in Rockaway Beach and Boardwalk)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.58909988403320000, -73.78890228271484000","http://www.nycgovparks.org/common_images/events/6a5e059921676.jpg","2026-08-09 00:00:04"
"Kids in Motion: Flynn Playground",,"2,215,105","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-flynn-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X146","Flynn Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6354","Play Area (in Flynn Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.82105530107700000, -73.91182680542100000","http://www.nycgovparks.org/common_images/events/6a5e05fe3cd05.jpg","2026-08-09 00:00:04"
"Kids In Motion: Carl Schruz Park",,"2,215,201","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-carl-schruz-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M081","Carl Schurz Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Catbird Playground (in Carl Schurz Park)","Arts & Crafts | Best for Kids","40.77389907836914000, -73.94480133056640000","http://www.nycgovparks.org/common_images/events/6a67028edbb18.jpg","2026-08-09 00:00:04"
"Kids In Motion: Lawrence Virgilio Playground",,"2,215,211","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-lawrence-virgilio-playground","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q031","Lawrence Virgilio Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(718) 393-7370","Play Area (in Lawrence Virgilio Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.74750137329100000, -73.91069793701200000","http://www.nycgovparks.org/common_images/events/6a5e05cab5bc9.jpg","2026-08-09 00:00:04"
"Kids In Motions: Carmasville Playground",,"2,215,321","http://www.nycgovparks.org/events/2026/08/13/kids-in-motions-carmasville-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M018","Carmansville Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Play Area (in Carmansville Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.82919627410000000, -73.94424778640000000","http://www.nycgovparks.org/common_images/events/6a5e05e844f11.jpg","2026-08-09 00:00:04"
"Kids in Motion: Brownsville Playground",,"2,215,357","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-brownsville-playground","The Kids In Motion programs engage children in active, outdoor play. An NYC parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games and more",,"Registration not required.","B270","Brownsville Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Brownsville Playground","Arts & Crafts | Fitness | Games | Best for Kids","40.65670880440000000, -73.90173968170000000",,"2026-08-09 00:00:04"
"Kids In Motion: Corona Golf Playground",,"2,215,512","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-corona-golf-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q450","Corona Golf Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Playground (in Corona Golf Playground)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.74766733388600000, -73.85404109954800000","http://www.nycgovparks.org/common_images/events/6a5e05b3965d3.jpg","2026-08-09 00:00:04"
"Kids In Motion: Astoria Heights Playground",,"2,215,695","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-astoria-heights-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q014","Astoria Heights Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Astoria Heights Playground","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.76053249227100000, -73.91156455874400000","http://www.nycgovparks.org/common_images/events/6a5e05d8102f6.jpg","2026-08-09 00:00:04"
"Kids in Motion: Tompkins Square Park",,"2,215,698","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-tompkins-square-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M088","Tompkins Square Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Avenue A and St. Marks Place (in Tompkins Square Park)","Arts & Crafts | Games | Best for Kids | Sports","40.72667334686700000, -73.98307871818500000","http://www.nycgovparks.org/common_images/events/6a5e05f4e39a6.jpg","2026-08-09 00:00:04"
"Kids in Motion: Metcalf Playground",,"2,215,980","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-metcalf-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X118","Soundview Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6354","Metcalf Playground (in Soundview Park)","Arts & Crafts | Games | Best for Kids | Sports","40.81774363115700000, -73.87059265375200000","http://www.nycgovparks.org/common_images/events/6a74318964593.jpg","2026-08-09 00:00:04"
"Kids In Motion: Harold Schneiderman Playground",,"2,216,014","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-police-officer-edward-byrne-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q408","Harold Schneiderman Playground","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Playground Area (in Harold Schneiderman Playground)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.66481452446500000, -73.85064142057100000","http://www.nycgovparks.org/common_images/events/6a645f94db19d.jpg","2026-08-09 00:00:04"
"Kids In Motion: Addabbo Playground",,"2,216,064","http://www.nycgovparks.org/events/2026/08/13/kids-in-motion-addabbo-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q094","Tudor Park","08/13/2026","08/13/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Addabbo Playground (in Tudor Park)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.67334839458100000, -73.85424542255400000","http://www.nycgovparks.org/common_images/events/6a5e05a85634f.jpg","2026-08-09 00:00:04"
